,x_m,y_m,w_left,w_right
0,-27.0,0.0,2.0,2.0
1,-26.0,0.0,2.0,2.0
2,-25.0,0.0,2.0,2.0
3,-24.0,0.0,2.0,2.0
4,-23.0,0.0,2.0,2.0
5,-21.999999999999996,0.0,2.0,2.0
6,-21.000000000000004,0.0,2.0,2.0
7,-20.0,0.0,2.0,2.0
8,-19.0,0.0,2.0,2.0
9,-18.0,0.0,2.0,2.0
10,-17.0,0.0,2.0,2.0
11,-15.999999999999998,0.0,2.0,2.0
12,-14.999999999999996,0.0,2.0,2.0
13,-14.000000000000002,0.0,2.0,2.0
14,-13.0,0.0,2.0,2.0
15,-12.0,0.0,2.0,2.0
16,-10.999999999999998,0.0,2.0,2.0
17,-9.999999999999998,0.0,2.0,2.0
18,-8.999999999999996,0.0,2.0,2.0
19,-8.000000000000002,0.0,2.0,2.0
20,-7.000000000000001,0.0,2.0,2.0
21,-6.0,0.0,2.0,2.0
22,-4.999999999999999,0.0,2.0,2.0
23,-3.9999999999999982,0.0,2.0,2.0
24,-2.9999999999999973,0.0,2.0,2.0
25,-2.0000000000000018,0.0,2.0,2.0
26,-1.0000000000000009,0.0,2.0,2.0
27,0.0,0.0,2.0,2.0
28,1.0,0.0,2.0,2.0
29,2.0,0.0,2.0,2.0
30,3.0,0.0,2.0,2.0
31,4.0,0.0,2.0,2.0
32,5.0,0.0,2.0,2.0
33,6.0,0.0,2.0,2.0
34,7.000000000000001,0.0,2.0,2.0
35,8.0,0.0,2.0,2.0
36,9.0,0.0,2.0,2.0
37,10.0,0.0,2.0,2.0
38,11.0,0.0,2.0,2.0
39,12.0,0.0,2.0,2.0
40,13.0,0.0,2.0,2.0
41,14.000000000000002,0.0,2.0,2.0
42,15.0,0.0,2.0,2.0
43,16.0,0.0,2.0,2.0
44,17.0,0.0,2.0,2.0
45,18.0,0.0,2.0,2.0
46,19.0,0.0,2.0,2.0
47,20.0,0.0,2.0,2.0
48,21.0,0.0,2.0,2.0
49,22.0,0.0,2.0,2.0
50,23.0,0.0,2.0,2.0
51,24.0,0.0,2.0,2.0
52,25.0,0.0,2.0,2.0
53,26.0,0.0,2.0,2.0
54,27.0,0.0,2.0,2.0
55,28.000000000000004,0.0,2.0,2.0
56,29.090909090909093,0.0,2.0,2.0
57,30.181818181818183,0.0,2.0,2.0
58,31.272727272727273,0.0,2.0,2.0
59,32.36363636363637,0.0,2.0,2.0
60,33.45454545454545,0.0,2.0,2.0
61,34.54545454545455,0.0,2.0,2.0
62,35.63636363636364,0.0,2.0,2.0
63,36.727272727272734,0.0,2.0,2.0
64,37.81818181818181,0.0,2.0,2.0
65,38.909090909090914,0.0,2.0,2.0
66,40.0,0.0,2.0,2.0
67,41.045284632676534,0.05478104631726666,2.0,2.0
68,42.079116908177596,0.2185239926619431,2.0,2.0
69,43.09016994374947,0.48943483704846535,2.0,2.0
70,44.067366430758,0.8645454235739916,2.0,2.0
71,45.0,1.3397459621556145,2.0,2.0
72,45.877852522924734,1.9098300562505273,2.0,2.0
73,46.691306063588584,2.568551745226058,2.0,2.0
74,47.43144825477394,3.3086939364114185,2.0,2.0
75,48.09016994374947,4.122147477075269,2.0,2.0
76,48.66025403784438,5.0,2.0,2.0
77,49.13545457642601,5.932633569241997,2.0,2.0
78,49.510565162951536,6.9098300562505255,2.0,2.0
79,49.78147600733806,7.920883091822406,2.0,2.0
80,49.94521895368273,8.954715367323463,2.0,2.0
81,50.0,10.0,2.0,2.0
82,50.0,11.090909090909092,2.0,2.0
83,50.0,12.181818181818183,2.0,2.0
84,50.0,13.272727272727273,2.0,2.0
85,50.0,14.363636363636365,2.0,2.0
86,50.0,15.454545454545455,2.0,2.0
87,50.0,16.545454545454547,2.0,2.0
88,50.0,17.636363636363637,2.0,2.0
89,50.0,18.727272727272727,2.0,2.0
90,50.0,19.818181818181817,2.0,2.0
91,50.0,20.90909090909091,2.0,2.0
92,50.0,22.0,2.0,2.0
93,50.0,23.0,2.0,2.0
94,50.0,24.0,2.0,2.0
95,50.0,25.0,2.0,2.0
96,50.0,26.0,2.0,2.0
97,50.0,27.0,2.0,2.0
98,50.0,28.0,2.0,2.0
99,50.0,29.0,2.0,2.0
100,50.0,30.0,2.0,2.0
101,50.0,30.999999999999996,2.0,2.0
102,50.0,32.0,2.0,2.0
103,50.0,33.0,2.0,2.0
104,50.0,34.0,2.0,2.0
105,50.0,35.0,2.0,2.0
106,50.0,36.0,2.0,2.0
107,50.0,37.0,2.0,2.0
108,50.0,38.0,2.0,2.0
109,50.0,39.09090909090909,2.0,2.0
110,50.0,40.18181818181818,2.0,2.0
111,50.0,41.27272727272727,2.0,2.0
112,50.0,42.36363636363636,2.0,2.0
113,50.0,43.45454545454545,2.0,2.0
114,50.0,44.54545454545455,2.0,2.0
115,50.0,45.63636363636363,2.0,2.0
116,50.0,46.727272727272734,2.0,2.0
117,50.0,47.81818181818182,2.0,2.0
118,50.0,48.909090909090914,2.0,2.0
119,50.0,50.0,2.0,2.0
120,49.94521895368273,51.045284632676534,2.0,2.0
